amendment,amendment_label,rank,score,chunk_id,document_id,title,author,date,source_collection,source_url,preview
10,Tenth Amendment,14,3,anti_federalist_positions_bill_of_rights_0002,anti_federalist_positions_bill_of_rights,Anti-Federalist Positions and Bill of Rights Influence,Various Anti-Federalist Writers,1787-1791,bill_of_rights,https://constitution.org/1-Constitution/afp/afp.htm,"""No person shall be compelled to render military service in person if conscientiously opposed to bearing arms; nor shall any person be compelled to pay a tax to support the worship of any religion opposite to their conscientious belief."" 2. ..."
10,Tenth Amendment,15,3,farrand_records_vol_1_0683,farrand_records_vol_1,"The Records of the Federal Convention of 1787, Volume 1",Max Farrand,1787-05-25/1787-07-26,farrands_records,https://archive.org/download/recordsfederalc00farrgoog/recordsfederalc00farrgoog_djvu.txt,"In Assembly March 6th 1787. Resolved, that the Honorable Robert Yates Esquire, and Alex* ander Hamilton and John Lansing, Junior Esquires, be, and they are hereby nominated by this House, Delegates on the part of this State, to meet such ..."
10,Tenth Amendment,16,3,farrand_records_vol_2_0688,farrand_records_vol_2,"The Records of the Federal Convention of 1787, Volume 2",Max Farrand,1787-07-27/1787-09-17,farrands_records,https://archive.org/download/recordsfederalc01farrgoog/recordsfederalc01farrgoog_djvu.txt,"In Assembly March 6th 1787. Resolved, that the Honorable Robert Yates Esquire, and Alex- ander Hamilton and John Lansing, Junior Esquires, be, and they are hereby nominated by this House, Delegates on the part of this State, to meet such ..."
10,Tenth Amendment,17,3,farrand_records_vol_3_0688,farrand_records_vol_3,"The Records of the Federal Convention of 1787, Volume 3",Max Farrand,1787-02-21/1787-09-17,farrands_records,https://archive.org/download/in.ernet.dli.2015.58320/2015.58320.The-Records-Of-The-Federal-Convention-Of-1787-Volume-Iii_djvu.txt,"Resolved, that the Honorable Robert Yates Esquire, and Alex- ander Hamilton and John Lansing, Junior Esquires, be, and they are hereby nominated by this House, Delegates on the part of this State, to meet such Delegates as may be appointed ..."
10,Tenth Amendment,18,3,madison_letters_vol_3_0620,madison_letters_vol_3,"Letters and Other Writings of James Madison, Volume 3",James Madison,1816-1828,founders_correspondence,https://archive.org/download/lettersotherwrit03madi/lettersotherwrit03madi_djvu.txt,"I thank you, sir, for the dates of the recorded letters from General Washington to me. Of these I do not find on my files those noted in the annexed list; some of which I should be par- ticularly glad ..."
10,Tenth Amendment,19,3,madison_letters_vol_4_0445,madison_letters_vol_4,"Letters and Other Writings of James Madison, Volume 4",James Madison,1829-1836,founders_correspondence,https://archive.org/download/lettersotherwrit04madi/lettersotherwrit04madi_djvu.txt,"opinions, unaccompanied with any other effect than what they may produce on opinion by exciting; reflection. The expositions of the judiciary, on the other hand, arc carried into immediate effect by force. The former may lead to a change in ..."
10,Tenth Amendment,20,3,madison_letters_vol_4_0848,madison_letters_vol_4,"Letters and Other Writings of James Madison, Volume 4",James Madison,1829-1836,founders_correspondence,https://archive.org/download/lettersotherwrit04madi/lettersotherwrit04madi_djvu.txt,"in the forms of the Constitution, and the ulterior resorts to the authority paramount to the Constitution, 319, 397. A case between the Govern- ment of U. S. and the Constituent body distinguished 'from a case among the States themselves ..."
10,Tenth Amendment,21,3,hamilton_works_vol_4_0252,hamilton_works_vol_4,"The Works of Alexander Hamilton, Volume 4",Alexander Hamilton,1769-1804,founders_correspondence,https://archive.org/download/alexanderworksof04hamirich/alexanderworksof04hamirich_djvu.txt,"Though a treaty of commerce like that contem plated in the report ought not to be rejected, if desired by Spain, and coupled with a satisfactory ad justment of the boundary and navigation, yet ought not something more to be ..."
10,Tenth Amendment,22,3,hamilton_works_vol_8_0187,hamilton_works_vol_8,"The Works of Alexander Hamilton, Volume 8",Alexander Hamilton,1769-1804,founders_correspondence,https://archive.org/download/ofalexander08hamirich/ofalexander08hamirich_djvu.txt,"What has been observed is sufficient to render it manifest that, independent of the extinguishment of the debt, the revenues proposed to be yielded up would find ample and very useful employment for a variety of public purposes. Already in ..."
10,Tenth Amendment,23,3,jefferson_writings_vol_2_0362,jefferson_writings_vol_2,"The Writings of Thomas Jefferson, Volume 2",Thomas Jefferson,1776-1781,founders_correspondence,https://www.gutenberg.org/cache/epub/50046/pg50046.txt,"I like much the general idea of framing a government, which should go on of itself, peaceably, without needing continual recurrence to the State legislatures. I like the organization of the government into legislative, judiciary and executive. I like the ..."
10,Tenth Amendment,24,3,jefferson_writings_vol_4_0514,jefferson_writings_vol_4,"The Writings of Thomas Jefferson, Volume 4",Thomas Jefferson,1789-1793,founders_correspondence,https://www.gutenberg.org/cache/epub/53603/pg53603.txt,"Mr. Madison enjoys better health since his removal to this place than he had done in Orange. Mr. Giles is in a state of health feared to be irrecoverable, although he may hold on for some time, and perhaps be ..."
10,Tenth Amendment,25,3,jefferson_writings_vol_6_0018,jefferson_writings_vol_6,"The Writings of Thomas Jefferson, Volume 6",Thomas Jefferson,1798-1802,founders_correspondence,https://www.gutenberg.org/cache/epub/55075/pg55075.txt,"Our latest arrival brings information of the death of the king of England. Its coming from Ireland and not direct from England would make it little worthy of notice, were not the event so probable. On the 26th of July ..."
10,Tenth Amendment,26,3,jefferson_writings_vol_7_0408,jefferson_writings_vol_7,"The Writings of Thomas Jefferson, Volume 7",Thomas Jefferson,1803-1807,founders_correspondence,https://www.gutenberg.org/cache/epub/56035/pg56035.txt,"The part which you quote, may draw on me the host of judges and divines. They may cavil but cannot refute it. Those who read Prisot's opinion with a candid view to understand, and not to chicane it, cannot mistake ..."
10,Tenth Amendment,27,3,jefferson_writings_vol_7_0458,jefferson_writings_vol_7,"The Writings of Thomas Jefferson, Volume 7",Thomas Jefferson,1803-1807,founders_correspondence,https://www.gutenberg.org/cache/epub/56035/pg56035.txt,"DEAR SIR,--I wrote you a letter yesterday, of which you will be free to make what use you please. This will contain matters not intended for the public eye. I see, as you do, and with the deepest affliction, the ..."
10,Tenth Amendment,28,2,henry_speeches_virginia_1788_0169,henry_speeches_virginia_1788,Patrick Henry — Speeches at the Virginia Ratifying Convention (June 1788),Patrick Henry,1788-06-04/1788-06-25,anti_federalist,https://avalon.law.yale.edu/18th_century/henry.asp,"system shows, in stronger terms than words could declare, that the liberties of the people are secure. It goes on the principle that all power is in the people, and that rulers have no powers but what are enumerated in ..."
10,Tenth Amendment,29,2,henry_speeches_virginia_1788_0412,henry_speeches_virginia_1788,Patrick Henry — Speeches at the Virginia Ratifying Convention (June 1788),Patrick Henry,1788-06-04/1788-06-25,anti_federalist,https://avalon.law.yale.edu/18th_century/henry.asp,"the press, I need say nothing; for it is hoped that the gentlemen who shall compose Congress will take care to infringe as little as possible the rights of human nature. This will result from their integrity. They should, from ..."
10,Tenth Amendment,30,2,henry_speeches_virginia_1788_0424,henry_speeches_virginia_1788,Patrick Henry — Speeches at the Virginia Ratifying Convention (June 1788),Patrick Henry,1788-06-04/1788-06-25,anti_federalist,https://avalon.law.yale.edu/18th_century/henry.asp,"Mr. HENRY. Mr. Chairman, this great national concern is handled in a manner quite new to me. When arguments are used which are calculated in their nature to mislead men, — when I reflect on the subject, I dread that ..."
